product_name,description,price,category,brand,rating
Wireless Bluetooth Headphones,High-quality wireless headphones with noise cancellation and 30-hour battery life,89.99,Electronics,SoundTech,4.5
Organic Coffee Beans,Premium organic coffee beans from Colombia with rich flavor and smooth finish,24.99,Groceries,GreenBean,4.8
Gaming Laptop,15.6-inch gaming laptop with RTX 4060 graphics card and 16GB RAM,1299.99,Electronics,GamTech,4.6
Yoga Mat,Non-slip yoga mat made from eco-friendly materials with carrying strap,39.99,Sports,FitLife,4.3
Smartphone Case,Protective smartphone case with shock absorption and wireless charging compatibility,19.99,Electronics,PhoneGuard,4.2
Organic Honey,Raw organic honey from local beekeepers with natural sweetness,12.99,Groceries,BeePure,4.7
Wireless Mouse,Ergonomic wireless mouse with precision tracking and long battery life,29.99,Electronics,ClickTech,4.4
Running Shoes,Lightweight running shoes with breathable mesh and cushioned sole,79.99,Sports,RunFast,4.5
Coffee Maker,Programmable coffee maker with thermal carafe and auto-shutoff,59.99,Home & Kitchen,BrewMaster,4.3
Bluetooth Speaker,Portable Bluetooth speaker with 360-degree sound and waterproof design,49.99,Electronics,SoundWave,4.6
Protein Powder,Whey protein powder with 25g protein per serving and chocolate flavor,34.99,Health & Fitness,MuscleFuel,4.4
Laptop Stand,Adjustable aluminum laptop stand with cooling ventilation,24.99,Electronics,DeskPro,4.2
Tea Set,Ceramic tea set with 6 cups and teapot in elegant design,89.99,Home & Kitchen,TeaTime,4.5
Wireless Earbuds,True wireless earbuds with active noise cancellation and touch controls,129.99,Electronics,AudioTech,4.7
Fitness Tracker,Smart fitness tracker with heart rate monitor and sleep tracking,79.99,Electronics,FitTrack,4.4
Cooking Pan,Non-stick cooking pan with ceramic coating and ergonomic handle,34.99,Home & Kitchen,CookPro,4.3
Bluetooth Keyboard,Wireless mechanical keyboard with RGB backlight and macro keys,89.99,Electronics,KeyTech,4.5
Water Bottle,Insulated water bottle with 32oz capacity and leak-proof design,19.99,Sports,HydratePro,4.6
Desk Lamp,LED desk lamp with adjustable brightness and color temperature,39.99,Home & Kitchen,LightPro,4.2
Wireless Charger,Fast wireless charging pad compatible with all Qi-enabled devices,29.99,Electronics,ChargeTech,4.4 